episode,reward
2420,72.4
2424,70.8
2428,66.6
2432,62.5
2436,55.4
2440,48.2
2444,49.0
2448,44.2
2452,44.3
2456,39.8
2460,36.2
2464,28.7
2468,23.7
2472,15.8
2476,8.08
2480,1.27
2484,-5.7
2488,-4.3
2492,-13.6
2496,-20.0
2500,-20.2
2504,-27.5
2508,-30.0
2512,-34.1
2516,-41.9
2520,-42.1
2524,-43.4
2528,-45.0
2532,-46.3
2536,-42.0
2540,-37.3
2544,-41.8
2548,-41.3
2552,-38.8
2556,-39.4
2560,-38.7
2564,-33.5
2568,-32.6
2572,-27.2
2576,-23.4
2580,-15.7
2584,-10.2
2588,-9.65
2592,-3.52
2596,3.92
2600,4.55
2604,10.5
2608,10.3
2612,13.4
2616,19.5
2620,24.6
2624,26.2
2628,24.3
2632,26.7
2636,26.6
2640,27.6
2644,33.6
2648,39.7
2652,43.8
2656,49.2
2660,52.0
2664,52.2
2668,57.6
2672,58.3
2676,56.3
2680,58.7
2684,59.4
2688,60.7
2692,59.4
2696,61.6
2700,63.0
2704,62.9
2708,62.2
2712,65.8
2716,61.9
2720,64.9
2724,69.0
2728,76.4
2732,78.6
2736,80.5
2740,86.2
2744,85.7
2748,84.4
2752,82.0
2756,85.7
2760,87.3
2764,85.3
2768,87.6
2772,89.6
2776,98.6
2780,98.9
2784,98.7
2788,101.0
2792,101.0
2796,102.0
2800,105.0
2804,102.0
2808,106.0
2812,102.0
2816,106.0
2820,105.0
2824,109.0
2828,112.0
2832,113.0
2836,115.0
2840,114.0
2844,115.0
2848,117.0
2852,118.0
2856,116.0
2860,114.0
2864,119.0
2868,118.0
2872,121.0
2876,116.0
2880,114.0
2884,114.0
2888,113.0
2892,115.0
2896,114.0
2900,115.0
2904,118.0
2908,119.0
2912,125.0
2916,121.0
2920,122.0
2924,122.0
2928,123.0
2932,125.0
2936,125.0
2940,124.0
2944,125.0
2948,122.0
2952,123.0
2956,124.0
2960,126.0
2964,126.0
2968,124.0
2972,121.0
2976,125.0
2980,126.0
2984,127.0
2988,129.0
2992,131.0
2996,131.0
3000,132.0
3004,133.0
3008,133.0
3012,134.0
3016,139.0
3020,136.0
3024,135.0
3028,134.0
3032,132.0
3036,130.0
3040,133.0
3044,132.0
3048,133.0
3052,134.0
3056,134.0
3060,136.0
3064,138.0
3068,138.0
3072,139.0
3076,138.0
3080,138.0
3084,138.0
3088,139.0
3092,141.0
3096,142.0
3100,137.0
3104,138.0
3108,138.0
3112,133.0
3116,133.0
3120,134.0
3124,131.0
3128,129.0
3132,129.0
3136,129.0
3140,125.0
3144,127.0
3148,129.0
3152,122.0
3156,117.0
3160,115.0
3164,111.0
3168,113.0
3172,114.0
3176,114.0
3180,113.0
3184,116.0
3188,114.0
3192,112.0
3196,108.0
3200,110.0
3204,109.0
3208,107.0
3212,108.0
3216,110.0
3220,111.0
3224,113.0
3228,113.0
3232,114.0
3236,117.0
3240,118.0
3244,116.0
3248,112.0
3252,115.0
3256,118.0
3260,122.0
3264,123.0
3268,125.0
3272,126.0
3276,126.0
3280,127.0
3284,126.0
3288,125.0
3292,125.0
3296,128.0
3300,130.0
3304,131.0
3308,131.0
3312,131.0
3316,132.0
3320,134.0
3324,133.0
3328,134.0
3332,131.0
3336,131.0
3340,132.0
3344,130.0
3348,134.0
3352,137.0
3356,140.0
3360,139.0
3364,139.0
3368,139.0
3372,140.0
3376,139.0
3380,139.0
3384,138.0
3388,139.0
3392,142.0
3396,143.0
3400,138.0
3404,136.0
3408,140.0
3412,140.0
3416,139.0
3420,140.0
3424,142.0
3428,145.0
3432,142.0
3436,140.0
3440,138.0
3444,143.0
3448,142.0
3452,140.0
3456,141.0
3460,136.0
3464,139.0
3468,139.0
3472,137.0
3476,137.0
3480,136.0
3484,134.0
3488,134.0
3492,134.0
3496,135.0
3500,138.0
3504,138.0
3508,138.0
3512,136.0
3516,124.0
3520,111.0
3524,99.1
3528,85.9
3532,80.7
3536,69.1
3540,61.2
3544,48.2
3548,37.2
3552,30.7
3556,22.5
3560,19.3
3564,13.8
3568,9.71
3572,9.45
3576,7.28
3580,8.66
3584,12.2
3588,11.3
3592,10.4
3596,7.23
3600,8.71
3604,8.17
3608,6.19
3612,10.4
3616,20.4
3620,33.2
3624,43.7
3628,56.4
3632,69.0
3636,79.5
3640,92.2
3644,103.0
3648,115.0
3652,124.0
3656,130.0
3660,134.0
3664,139.0
3668,140.0
3672,141.0
3676,142.0
3680,144.0
3684,142.0
3688,144.0
3692,143.0
3696,143.0
3700,144.0
3704,148.0
3708,149.0
3712,150.0
3716,152.0
3720,152.0
3724,154.0
3728,152.0
3732,151.0
3736,154.0
3740,154.0
3744,156.0
3748,153.0
3752,152.0
3756,154.0
3760,156.0
3764,157.0
3768,160.0
3772,159.0
3776,161.0
3780,158.0
3784,161.0
3788,162.0
3792,164.0
3796,166.0
3800,166.0
3804,162.0
3808,159.0
3812,159.0
3816,161.0
3820,161.0
3824,160.0
3828,159.0
3832,160.0
3836,158.0
3840,155.0
3844,154.0
3848,156.0
3852,159.0
3856,159.0
3860,162.0
3864,156.0
3868,152.0
3872,153.0
3876,152.0
3880,153.0
3884,154.0
3888,151.0
3892,151.0
3896,151.0
3900,151.0
3904,152.0
3908,156.0
3912,151.0
3916,149.0
3920,148.0
3924,147.0
3928,149.0
3932,150.0
3936,152.0
3940,155.0
3944,154.0
3948,154.0
3952,152.0
3956,149.0
3960,149.0
3964,153.0
3968,157.0
3972,158.0
3976,157.0
3980,159.0
3984,158.0
3988,161.0
3992,159.0
3996,155.0
4000,156.0
4004,158.0
4008,154.0
4012,160.0
4016,158.0
4020,158.0
4024,160.0
4028,159.0
4032,157.0
4036,154.0
4040,154.0
4044,154.0
4048,153.0
4052,155.0
4056,156.0
4060,155.0
4064,156.0
4068,156.0
4072,155.0
4076,156.0
4080,157.0
4084,156.0
4088,157.0
4092,159.0
4096,161.0
4100,160.0
4104,162.0
4108,165.0
